date_c,open_c,high_c,low_c,close_c
1604188800000.0,13791.0,13895.0,13603.0,13761.5
1604275200000.0,13761.49,13830.0,13195.05,13549.37
1604361600000.0,13549.63,14066.11,13284.99,14023.53
1604448000000.0,14023.53,14259.0,13525.0,14144.01
1604534400000.0,14144.01,15750.0,14093.56,15590.02
1604620800000.0,15590.02,15960.0,15166.0,15579.92
1604707200000.0,15579.93,15753.52,14344.22,14818.3
1604793600000.0,14818.3,15650.0,14703.88,15475.1
1604880000000.0,15475.1,15840.0,14805.54,15328.41
1604966400000.0,15328.41,15460.0,15072.46,15297.21
1605052800000.0,15297.21,15965.0,15272.68,15684.24
1605139200000.0,15684.25,16340.7,15440.64,16291.86
1605225600000.0,16291.85,16480.0,15952.35,16320.7
1605312000000.0,16320.04,16326.99,15670.0,16070.45
1605398400000.0,16069.56,16180.0,15774.72,15957.0
1605484800000.0,15957.0,16880.0,15864.0,16713.57
1605571200000.0,16713.08,17858.82,16538.0,17659.38
1605657600000.0,17659.38,18476.93,17214.45,17776.12
1605744000000.0,17777.75,18179.8,17335.65,17802.82
1605830400000.0,17802.81,18815.22,17740.04,18655.67
1605916800000.0,18655.66,18965.9,18308.58,18703.8
1606003200000.0,18703.8,18750.0,17610.86,18414.43
1606089600000.0,18413.88,18766.0,18000.0,18368.0
1606176000000.0,18368.01,19418.97,18018.0,19160.01
1606262400000.0,19160.0,19484.21,18500.27,18719.11
1606348800000.0,18718.83,18915.03,16188.0,17149.47
1606435200000.0,17149.47,17457.62,16438.08,17139.52
1606521600000.0,17139.53,17880.49,16865.56,17719.85
1606608000000.0,17719.84,18360.05,17517.0,18184.99
1606694400000.0,18185.0,19863.16,18184.99,19695.87
1606780800000.0,19695.87,19888.0,18001.12,18764.96
1606867200000.0,18764.96,19342.0,18330.0,19204.09
1606953600000.0,19204.08,19598.0,18867.2,19421.9
1607040000000.0,19422.34,19527.0,18565.31,18650.52
1607126400000.0,18650.51,19177.0,18500.0,19147.66
1607212800000.0,19147.66,19420.0,18857.0,19359.4
